epoch,train/ctc_loss,val/ctc_loss,val/seq_acc,val/char_acc,lr
1,4.255549,3.404229,0.0,0.021291,0.0004
2,3.202648,3.206063,0.0,0.068171,0.0006
3,2.995046,2.887086,0.0,0.115604,0.0008
4,2.407947,1.739758,0.002385,0.330951,0.001
5,1.325061,0.848163,0.201352,0.728776,0.001
6,0.908791,0.614468,0.335851,0.791041,0.00099973
7,0.744786,0.481911,0.444754,0.838326,0.00099892
8,0.651675,0.428106,0.497936,0.856826,0.00099757
9,0.592136,0.34445,0.588734,0.878918,0.00099568
10,0.539181,0.334698,0.600232,0.880298,0.00099325
11,0.508677,0.284262,0.664332,0.897099,0.00099029
12,0.483694,0.272903,0.676167,0.904267,0.0009868
13,0.456866,0.257527,0.687299,0.909881,0.00098278
14,0.440634,0.248046,0.70259,0.908413,0.00097824
15,0.430538,0.235188,0.711306,0.916788,0.00097318
16,0.413474,0.216955,0.73883,0.924317,0.00096761
17,0.398579,0.212867,0.743815,0.925175,0.00096153
18,0.390015,0.218289,0.730665,0.919235,0.00095496
19,0.384648,0.208639,0.744274,0.925414,0.00094789
20,0.371613,0.202409,0.752806,0.926843,0.00094034
21,0.363846,0.196627,0.758892,0.929682,0.00093231
22,0.357957,0.195292,0.759106,0.928633,0.00092382
23,0.350567,0.201015,0.757057,0.927644,0.00091486
24,0.346735,0.18905,0.769412,0.93523,0.00090546
25,0.336228,0.188519,0.766384,0.931137,0.00089562
26,0.33659,0.183244,0.777547,0.936363,0.00088536
27,0.326155,0.1935,0.75565,0.931624,0.00087468
28,0.315421,0.18387,0.771277,0.935479,0.00086359
29,0.316537,0.175165,0.785957,0.938274,0.00085211
30,0.313167,0.182918,0.778617,0.936628,0.00084025
31,0.303994,0.178779,0.778403,0.935182,0.00082803
32,0.304185,0.167923,0.795437,0.94087,0.00081545
33,0.29872,0.168345,0.796355,0.941493,0.00080254
34,0.295446,0.18221,0.774519,0.935727,0.00078929
35,0.2942,0.168392,0.796722,0.941284,0.00077574
36,0.28613,0.167247,0.79822,0.943748,0.00076189
37,0.277825,0.170995,0.795804,0.939929,0.00074776
38,0.2804,0.171864,0.793419,0.94019,0.00073336
39,0.277872,0.164441,0.804734,0.944053,0.00071872
40,0.278111,0.172479,0.793602,0.940247,0.00070384
41,0.270125,0.167699,0.799902,0.941061,0.00068874
42,0.26952,0.161799,0.806753,0.945512,0.00067345
43,0.265163,0.163582,0.807486,0.944872,0.00065796
44,0.266456,0.16051,0.809535,0.945064,0.00064231
45,0.264402,0.158717,0.80975,0.945965,0.00062652
46,0.257894,0.165655,0.803817,0.942006,0.00061058
47,0.25549,0.167083,0.805682,0.943557,0.00059454
48,0.255088,0.164628,0.807028,0.943361,0.00057839
49,0.250816,0.156348,0.811707,0.946374,0.00056216
50,0.251665,0.162021,0.80975,0.944959,0.00054588
51,0.24836,0.159516,0.815224,0.947049,0.00052954
52,0.247116,0.158116,0.814826,0.946135,0.00051318
53,0.241784,0.156656,0.814581,0.946218,0.00049682
54,0.242951,0.163186,0.807119,0.942477,0.00048046
55,0.240869,0.158097,0.816416,0.946353,0.00046412
56,0.236353,0.154196,0.818679,0.94823,0.00044784
57,0.233256,0.152916,0.822166,0.949623,0.00043161
58,0.235529,0.158805,0.815835,0.94701,0.00041546
59,0.230617,0.157755,0.816386,0.945016,0.00039942
60,0.229173,0.152707,0.820728,0.949453,0.00038348
61,0.232227,0.156636,0.815621,0.944868,0.00036769
62,0.225603,0.152748,0.821829,0.947629,0.00035204
63,0.227907,0.15496,0.822594,0.949375,0.00033655
64,0.219861,0.154513,0.822105,0.949832,0.00032126
65,0.225129,0.156525,0.819719,0.947354,0.00030616
66,0.222058,0.15863,0.819628,0.946797,0.00029128
67,0.22059,0.153815,0.822869,0.948852,0.00027664
68,0.220169,0.157392,0.819108,0.946858,0.00026224
69,0.219107,0.152598,0.824612,0.950459,0.00024811
